,시점,산업생산지수(원지수),생산자제품 출하지수(원지수),내수출하지수(원지수),수출출하지수(원지수),산업생산지수(계절조정),내수출하지수(계절조정),수출출하지수(계절조정)
0,2005.01 월,78.607,78.515,80.652,74.656,77.921,80.534,76.73
1,2005.02 월,67.195,68.774,69.99,66.587,75.991,78.674,73.584
2,2005.03 월,82.309,83.19,85.292,79.254,77.59,80.134,75.005
3,2005.04 월,79.399,80.019,81.956,76.616,76.824,78.998,74.709
4,2005.05 월,79.313,79.148,81.63,74.732,76.642,78.998,73.06
5,2005.06 월,78.454,79.387,82.033,74.732,77.713,80.773,73.956
6,2005.07 월,77.824,77.481,80.249,72.467,78.015,81.584,72.984
7,2005.08 월,73.969,75.345,78.207,70.124,78.341,81.66,72.612
8,2005.09 월,75.859,76.14,77.804,73.145,78.16,79.723,74.404
9,2005.10 월,81.756,82.002,83.423,79.474,79.085,81.097,75.234
10,2005.11 월,85.057,85.172,86.673,82.572,81.408,83.597,79.438
11,2005.12 월,84.513,85.642,88.552,80.382,78.9,82.634,78.236
12,2006.01 월,79.084,78.908,81.39,74.503,81.742,85.534,79.733
13,2006.02 월,77.347,77.567,79.923,73.518,80.762,84.008,76.959
14,2006.03 월,86.24,86.676,89.933,80.908,81.376,84.971,77.035
15,2006.04 월,81.832,82.711,85.206,78.346,80.969,83.273,77.188
16,2006.05 월,84.036,84.693,87.488,79.857,82.841,85.458,78.532
17,2006.06 월,82.777,83.506,86.184,78.728,81.796,84.733,77.855
18,2006.07 월,75.458,75.508,76.337,73.901,76.886,79.809,75.682
19,2006.08 월,78.531,79.866,81.956,76.157,83.256,85.372,78.608
20,2006.09 월,87.185,87.941,90.259,83.776,83.908,87.071,79.809
21,2006.10 월,81.517,82.318,84.564,78.193,86.223,89.084,80.934
22,2006.11 월,88.445,88.975,92.215,83.25,84.6,88.845,80.181
23,2006.12 월,85.219,86.839,91.314,78.805,82.979,88.282,78.16
24,2007.01 월,86.164,85.172,88.715,78.948,83.756,88.445,80.639
25,2007.02 월,76.641,78.352,80.738,74.12,85.282,89.895,81.306
26,2007.03 월,88.998,90.556,93.432,85.516,84.088,88.197,81.239
27,2007.04 월,86.794,88.496,90.748,84.532,85.82,88.607,83.26
28,2007.05 월,87.891,89.444,92.78,83.547,86.596,90.62,82.059
29,2007.06 월,86.403,87.625,90.173,83.021,85.155,88.521,81.907
30,2007.07 월,84.351,85.01,86.347,82.648,85.58,90.057,84.909
31,2007.08 월,83.092,83.985,85.455,81.291,88.088,89.246,84.309
32,2007.09 월,80.029,81.762,83.011,79.474,85.759,88.282,83.184
33,2007.10 월,93.244,93.889,95.791,90.564,88.833,91.746,85.357
34,2007.11 월,92.853,94.042,96.117,90.335,88.931,92.796,87.083
35,2007.12 월,88.607,91.351,93.758,87.094,88.106,92.395,87.836
36,2008.01 월,91.832,91.111,94.813,84.532,89.437,94.571,86.635
37,2008.02 월,80.658,82.002,83.663,79.101,89.73,92.796,86.559
38,2008.03 월,93.95,95.546,96.932,93.126,90.62,93.12,89.561
39,2008.04 월,92.777,93.803,94.899,91.922,91.675,92.634,90.458
40,2008.05 월,90.964,92.222,92.857,91.09,89.614,90.706,89.485
41,2008.06 월,89.389,89.684,90.096,88.901,89.633,89.971,89.037
42,2008.07 월,89.857,90.479,90.01,91.396,89.395,90.544,91.211
43,2008.08 월,83.884,84.301,83.663,85.44,90.597,88.769,89.714
44,2008.09 월,85.926,86.044,84.314,89.13,88.688,86.985,91.363
45,2008.10 월,93.95,92.931,91.477,95.392,89.669,87.557,89.561
46,2008.11 월,82.7,83.506,82.848,84.608,81.01,81.336,82.812
47,2008.12 월,77.662,80.891,81.227,80.229,74.285,77.061,78.236
48,2009.01 월,70.582,71.619,72.349,70.277,73.329,75.534,74.938
49,2009.02 월,73.884,75.421,75.772,74.799,76.992,79.723,78.16
50,2009.03 월,84.036,85.249,85.206,85.44,79.494,80.448,81.306
51,2009.04 월,84.59,85.967,86.27,85.516,81.864,83.034,83.26
52,2009.05 월,81.679,83.266,83.423,83.021,82.092,83.034,82.66
53,2009.06 월,86.555,88.343,89.933,85.516,84.86,88.034,84.538
54,2009.07 월,87.261,87.385,87.651,86.874,86.514,88.034,86.559
55,2009.08 월,80.496,81.446,82.119,80.229,86.87,87.147,84.309
56,2009.09 월,93.168,93.726,94.487,92.371,90.389,91.67,88.732
57,2009.10 월,88.292,89.444,89.933,88.528,88.304,89.895,87.684
58,2009.11 월,91.355,92.059,92.541,91.166,89.768,91.183,89.333
59,2009.12 월,95.601,96.657,99.54,91.616,91.398,94.656,89.933
60,2010.01 월,90.744,90.805,93.097,86.902,89.947,92.366,87.989
61,2010.02 월,82.538,82.95,83.893,81.166,91.751,92.462,89.037
62,2010.03 월,97.328,98.372,100.096,95.507,92.052,94.37,90.753
63,2010.04 월,97.328,98.276,98.945,97.036,94.228,95.515,94.28
64,2010.05 월,95.515,95.307,94.727,96.176,96.074,95.134,96.092
65,2010.06 월,97.805,98.276,97.891,98.948,95.694,96.183,97.331
66,2010.07 월,96.851,96.552,96.165,97.323,95.782,95.992,97.521
67,2010.08 월,90.935,91.667,91.275,92.447,96.208,95.706,97.045
68,2010.09 월,91.985,92.241,91.275,93.786,97.049,95.802,97.331
69,2010.10 월,100.286,100.479,98.658,103.633,96.481,95.42,98.665
70,2010.11 월,100.763,101.149,100.863,101.625,97.292,97.901,98.284
71,2010.12 월,102.958,103.257,103.547,102.772,98.31,98.092,99.523
72,2011.01 월,100.954,101.533,102.109,100.669,100.627,101.718,103.146
73,2011.02 월,87.118,89.08,88.495,90.153,97.795,98.473,99.333
74,2011.03 월,105.916,106.322,106.52,106.119,100.117,100.382,100.477
75,2011.04 월,101.336,101.533,101.246,101.816,98.202,97.805,98.951
76,2011.05 월,100.954,100.383,99.904,101.147,99.591,98.664,99.428
77,2011.06 월,103.149,102.011,101.534,102.964,100.814,99.523,100.858
78,2011.07 월,100.382,99.617,98.274,101.912,101.149,99.618,103.337
79,2011.08 월,95.897,96.073,95.494,96.941,101.455,100.382,102.097
80,2011.09 월,97.901,97.797,96.74,99.522,101.413,99.905,102.193
81,2011.10 월,102.767,102.778,101.342,105.163,101.231,99.905,102.383
82,2011.11 월,103.531,102.778,101.342,105.163,100.136,98.378,102.288
83,2011.12 월,104.962,105.556,104.698,107.17,98.014,97.328,101.621
84,2012.01 월,96.756,97.605,96.836,98.948,100.201,100.191,105.148
85,2012.02 월,100.954,101.149,99.233,104.589,102.334,101.145,106.101
86,2012.03 월,106.011,105.268,103.068,109.178,100.16,97.137,103.241
87,2012.04 월,101.527,101.149,99.425,104.111,102.539,99.618,104.099
88,2012.05 월,104.962,104.406,101.63,109.273,103.659,100.382,107.245
89,2012.06 월,103.912,103.927,100.767,109.273,101.527,98.664,106.864
90,2012.07 월,100.954,100.479,98.754,103.346,101.703,99.905,104.48
91,2012.08 월,93.702,93.487,91.755,96.367,99.077,96.183,101.239
92,2012.09 월,98.569,100.287,95.206,109.178,101.094,97.233,109.724
93,2012.10 월,101.718,101.628,98.658,106.692,101.647,98.569,106.101
94,2012.11 월,104.676,103.927,101.438,108.126,101.275,98.569,105.052
95,2012.12 월,102.385,103.544,101.918,106.31,101.228,99.905,105.624
96,2013.01 월,104.676,104.215,102.013,108.031,101.381,99.714,107.531
97,2013.02 월,91.317,92.433,90.412,95.985,100.787,99.237,105.052
98,2013.03 월,102.863,103.448,100.384,108.509,99.082,96.469,104.194
99,2013.04 월,103.149,102.969,99.904,108.222,100.198,96.565,105.052
100,2013.05 월,103.912,103.64,100.575,108.891,100.638,97.71,105.434
101,2013.06 월,102.004,102.49,99.616,107.457,101.784,99.332,106.673
102,2013.07 월,100.859,100.0,99.329,101.243,99.627,98.473,101.049
103,2013.08 월,96.183,96.935,96.836,97.036,101.613,101.813,102.479
104,2013.09 월,92.653,92.816,91.563,95.029,100.013,97.901,100.286
105,2013.10 월,105.725,104.981,104.123,106.31,101.957,101.431,102.669
106,2013.11 월,104.198,104.023,102.876,106.119,100.71,100.0,103.241
