,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,1309986,11.0,163570024,6.7,47356,66.4,2654725,74.0
1,1,2007-02-01,1212834,12.2,153964692,7.8,30174,12.9,2024849,21.2
2,2,2007-03-01,2830428,13.7,354053138,9.5,106289,8.3,6381509,16.5
3,3,2007-04-01,2644614,15.4,332723566,11.1,95673,15.6,6059834,23.4
4,4,2007-05-01,4231892,14.8,529997355,11.2,168058,14.4,9904167,20.8
5,5,2007-06-01,4037175,13.6,507593869,10.3,172472,15.9,10481797,22.1
6,6,2007-07-01,5467288,19.0,688446446,15.4,242235,24.1,13904175,28.3
7,7,2007-08-01,5215326,20.3,655358840,16.4,254053,26.0,15215737,30.6
8,8,2007-09-01,6622874,15.1,834505167,11.7,307939,22.1,17394864,27.4
9,9,2007-10-01,6807081,17.4,852814584,13.8,330681,27.6,19763769,32.3
10,10,2007-11-01,8327084,16.3,1046496661,12.7,412805,30.7,23176023,34.5
11,11,2007-12-01,8267942,14.3,1035822607,11.1,425415,32.2,25173267,36.3
12,12,2008-01-01,1481025,13.1,182284250,11.4,65066,37.4,3648954,37.5
13,13,2008-02-01,1166725,5.0,139946706,1.5,64083,66.6,3728052,57.6
14,14,2008-03-01,2984044,2.7,366489622,-0.3,174717,75.0,9463894,56.9
15,15,2008-04-01,2764861,5.0,332422383,1.8,142545,57.1,8012547,40.5
16,16,2008-05-01,4497707,5.6,550769694,2.4,264462,54.3,14478998,40.9
17,17,2008-06-01,4335478,6.8,526249492,3.8,219834,42.2,12490228,32.3
18,18,2008-07-01,5651400,5.1,694862126,2.1,341240,35.3,19148525,29.7
19,19,2008-08-01,5463264,4.0,664002182,1.1,294423,28.1,16513028,22.5
20,20,2008-09-01,6742897,3.1,833039776,0.5,424927,28.0,24442096,25.6
21,21,2008-10-01,7044460,2.7,866115889,0.7,336872,19.3,19765334,19.0
22,22,2008-11-01,8435227,2.3,1050569525,0.9,465031,7.9,27185447,9.3
23,23,2008-12-01,8358146,1.2,1034684489,0.1,378173,0.6,22652507,3.1
24,24,2009-01-01,854442,-42.3,109882742,-39.7,40116,-38.3,2334826,-36.0
25,25,2009-02-01,1006990,-29.7,130313169,-25.5,40633,-37.5,2491728,-34.6
26,26,2009-03-01,1878974,-30.5,244530109,-26.0,102860,-39.9,6007460,-35.6
27,27,2009-04-01,2111506,-30.6,270872231,-26.3,86890,-40.2,5789352,-32.5
28,28,2009-05-01,2871181,-31.4,372589738,-27.1,151233,-41.5,9524062,-31.9
29,29,2009-06-01,3288990,-30.3,421211646,-26.3,174743,-32.7,11507977,-22.0
30,30,2009-07-01,4007369,-26.9,518635147,-23.0,190572,-34.9,12106089,-25.4
31,31,2009-08-01,4140328,-26.7,532722973,-22.6,211256,-36.8,13879096,-27.1
32,32,2009-09-01,5509789,-20.9,705295633,-17.3,291044,-30.2,17740948,-22.8
33,33,2009-10-01,5597403,-19.4,709823405,-16.7,261610,-27.5,17501740,-20.3
34,34,2009-11-01,7218679,-17.2,909845267,-15.5,391513,-18.6,23827299,-12.0
35,35,2009-12-01,7123244,-14.6,894706111,-13.5,350597,-12.0,23173549,-5.7
36,36,2010-01-01,1144861,34.0,136030610,23.8,83467,108.1,5209835,123.1
37,37,2010-02-01,1188364,25.3,140785935,15.2,73234,94.1,4953811,110.6
38,38,2010-03-01,2718305,35.4,323394079,23.8,164291,65.5,10627798,83.3
39,39,2010-04-01,2919432,41.3,342523160,29.2,157218,69.4,10598070,79.9
40,40,2010-05-01,4334596,45.6,515556531,33.4,296744,90.6,18860868,92.4
41,41,2010-06-01,4712113,46.9,557505679,35.2,272509,74.6,18195862,76.2
42,42,2010-07-01,6042660,47.4,719911487,35.9,386726,80.5,24879255,82.4
43,43,2010-08-01,5996095,47.8,708435962,35.9,432904,104.0,27738926,102.5
44,44,2010-09-01,7614651,41.0,903170221,30.2,478979,81.5,30529396,84.3
45,45,2010-10-01,7863164,39.3,925062279,29.2,510892,79.1,32333700,78.4
46,46,2010-11-01,9569213,36.0,1128470911,26.8,574262,66.1,36334774,66.2
47,47,2010-12-01,9768082,34.8,1146130147,26.0,604128,58.8,38087690,58.3
48,48,2011-01-01,2005958,75.2,225598081,65.8,94128,12.8,5871386,12.7
49,49,2011-02-01,1560737,52.9,170522575,43.1,156746,60.1,8508599,41.5
50,50,2011-03-01,4162286,46.5,460052282,35.8,218100,57.8,13244265,39.6
51,51,2011-04-01,3699222,39.4,404878134,29.9,250402,45.7,13675681,26.8
52,52,2011-05-01,6354786,38.6,695278904,28.2,292278,19.5,17688813,6.5
53,53,2011-06-01,6292659,39.8,679889975,28.2,329005,9.1,18527430,-2.3
54,54,2011-07-01,8630028,38.8,937090814,26.6,419128,13.5,24597679,0.1
55,55,2011-08-01,8146688,39.4,875780422,26.9,413763,1.6,23660828,-8.3
56,56,2011-09-01,10789955,39.1,1169065682,26.9,518724,2.3,30425355,-7.2
57,57,2011-10-01,10448765,37.2,1125008218,25.5,490426,1.9,28324746,-6.5
58,58,2011-11-01,13286844,36.2,1436863080,24.8,607521,1.2,35993445,-6.3
59,59,2011-12-01,12995715,35.9,1395615002,24.5,579507,0.7,33552867,-6.6
60,60,2012-01-01,1922159,-4.2,209451193,-7.2,104239,10.7,6317578,7.6
61,61,2012-02-01,2575746,26.1,274648452,22.2,81443,-26.0,4868444,-22.2
62,62,2012-03-01,4651276,26.3,501112148,23.0,199994,-24.9,12136619,-21.8
63,63,2012-04-01,5088989,23.9,543341523,20.8,154701,-24.3,9522524,-19.5
64,64,2012-05-01,7076788,21.0,757554103,18.2,312752,-13.9,19366894,-7.9
65,65,2012-06-01,7809318,17.7,830302452,15.5,246427,-10.0,15398858,-4.0
66,66,2012-07-01,9290107,14.6,991302778,12.7,426663,-10.0,26070663,-3.8
67,67,2012-08-01,9260600,10.6,985741413,9.1,325428,-9.7,20305136,-3.9
68,68,2012-09-01,11329996,8.7,1203585957,7.1,516448,-9.7,31500928,-4.2
69,69,2012-10-01,11452763,7.3,1213503781,5.4,429517,-6.3,26925370,-0.6
70,70,2012-11-01,13916917,6.9,1471800347,4.8,632471,-3.3,38933067,2.4
71,71,2012-12-01,13850940,5.7,1457882658,3.4,596405,3.5,37120291,9.4
72,72,2013-01-01,2386106,24.1,239272258,14.2,104410,0.2,7008665,10.9
73,73,2013-02-01,2081052,-0.7,206259971,-8.0,86935,3.1,5550910,12.3
74,74,2013-03-01,4675992,-6.5,465891823,-13.4,224459,10.6,14744089,19.3
75,75,2013-04-01,4362123,-7.2,432443310,-14.0,203179,20.6,13204060,29.0
76,76,2013-05-01,6984460,-6.7,696571306,-13.2,337887,15.7,22232091,22.7
77,77,2013-06-01,6824133,-7.2,675725840,-13.6,313534,16.5,20855420,23.9
78,78,2013-07-01,9079019,-7.0,906225631,-13.2,503426,21.4,32579520,28.9
79,79,2013-08-01,8824396,-3.5,874883715,-9.9,431861,24.4,28475541,31.7
80,80,2013-09-01,10802440,-4.7,1079318099,-10.7,656723,29.3,42227409,36.5
81,81,2013-10-01,11289142,-3.0,1119127308,-9.0,568011,29.5,37138248,35.8
82,82,2013-11-01,13296221,-3.1,1326306794,-8.9,801880,29.0,51679288,34.9
