,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,952136,-4.4,1940277715,-7.5,102223,-8.8,249366178,-9.9
1,1,2007-02-01,1264677,16.0,2425896189,11.1,92751,-7.0,217726567,-7.8
2,2,2007-03-01,2390719,23.6,4560468978,17.1,196157,-11.1,472167489,-10.2
3,3,2007-04-01,2752293,18.6,5023144039,13.2,196878,-6.5,416863802,-5.2
4,4,2007-05-01,3721760,12.7,6830682839,8.5,271439,-11.7,623042189,-9.9
5,5,2007-06-01,4248180,12.6,7655048905,8.8,246169,-20.0,495898231,-18.9
6,6,2007-07-01,5499131,8.6,9663215312,5.0,355461,-20.4,770915106,-19.5
7,7,2007-08-01,6096374,4.3,10659201296,0.5,330826,-18.7,661477465,-18.9
8,8,2007-09-01,7232944,3.2,12354616154,-2.7,406827,-18.9,851964307,-20.1
9,9,2007-10-01,8022723,7.3,13563953272,-1.3,393142,-17.6,752742267,-20.6
10,10,2007-11-01,9540494,13.1,15525365630,0.4,484806,-14.6,984207050,-18.7
11,11,2007-12-01,10303058,18.7,16683028441,3.1,459017,-12.4,840086301,-17.9
12,12,2008-01-01,1763640,85.2,2367446477,22.0,134359,31.4,210469612,-15.6
13,13,2008-02-01,1959447,67.9,2508971904,11.7,105540,23.0,165986449,-19.4
14,14,2008-03-01,4189591,68.2,5075245199,8.6,207262,8.3,306618669,-31.5
15,15,2008-04-01,4506885,69.1,5139763093,6.6,273884,22.4,409494164,-19.5
16,16,2008-05-01,7378757,83.6,7937256809,10.3,367274,36.9,491299572,-13.4
17,17,2008-06-01,7935213,92.1,8108589659,10.8,342435,37.1,478237830,-13.4
18,18,2008-07-01,11425760,98.6,11233070760,11.7,554482,49.1,690241344,-7.8
19,19,2008-08-01,11297906,96.0,11390584017,11.3,537811,59.2,715179028,-1.9
20,20,2008-09-01,14780283,95.6,14895950916,14.2,728436,71.7,879676757,5.4
21,21,2008-10-01,13745101,87.0,15006667462,15.4,638953,70.9,819784673,5.9
22,22,2008-11-01,16492370,72.2,17926073011,13.2,839198,68.4,1093706833,10.2
23,23,2008-12-01,15050662,59.0,17901017881,11.2,727619,66.0,968970622,13.1
24,24,2009-01-01,1162292,-34.1,2600341530,9.8,133054,-1.0,366770165,74.3
25,25,2009-02-01,1159550,-37.6,2915668828,13.1,157944,21.3,445229110,115.7
26,26,2009-03-01,2381004,-42.4,5694517013,13.5,318680,52.4,945083523,194.2
27,27,2009-04-01,2381342,-45.2,5714207453,11.7,370686,43.3,1066062563,180.8
28,28,2009-05-01,3465426,-50.8,7941717360,4.4,492331,34.6,1382994907,171.9
29,29,2009-06-01,3989930,-51.3,8587966296,3.0,484642,37.7,1303191911,177.1
30,30,2009-07-01,5178286,-52.6,10985990926,1.2,618865,23.0,1618305135,150.0
31,31,2009-08-01,5720566,-52.0,11466214632,-0.8,586776,10.4,1484915982,120.8
32,32,2009-09-01,6807661,-52.0,13825651961,-3.8,776218,7.6,1931929067,114.2
33,33,2009-10-01,7479281,-49.9,14450232443,-5.4,731729,10.3,1751692824,116.8
34,34,2009-11-01,8547841,-47.0,16613790120,-5.7,853492,7.2,2048823481,98.6
35,35,2009-12-01,9154381,-43.9,17081675203,-5.9,861712,9.5,1977317331,95.2
36,36,2010-01-01,1482051,27.5,2308062313,-11.2,294047,121.0,548756494,49.6
37,37,2010-02-01,1489530,28.0,2369812287,-15.2,253389,88.1,455721163,23.7
38,38,2010-03-01,3075210,28.9,4688385735,-18.0,501994,58.5,904597248,-2.2
39,39,2010-04-01,3561820,39.4,5277995843,-12.6,435821,36.0,767792930,-16.8
40,40,2010-05-01,4993936,46.3,7465373297,-6.7,752320,37.7,1355306060,-13.3
41,41,2010-06-01,5773224,44.4,8657763013,-2.5,588295,37.2,1029369834,-11.2
42,42,2010-07-01,7085909,40.3,10620183441,-1.5,977424,41.9,1773636548,-4.1
43,43,2010-08-01,7889188,37.4,11835818099,0.0,803714,47.7,1424588810,3.1
44,44,2010-09-01,9231318,36.7,13819470079,1.4,1103902,40.0,1979152607,-0.4
45,45,2010-10-01,10328859,36.9,15362044118,3.2,1001173,39.6,1758826181,1.5
46,46,2010-11-01,11468617,36.0,16901790345,3.9,1209748,39.5,2111828764,1.8
47,47,2010-12-01,12737036,36.7,18572093767,5.3,1111488,35.3,1891473846,-0.6
48,48,2011-01-01,2374739,60.2,2945403806,27.6,351580,19.6,579554305,5.6
49,49,2011-02-01,2522270,64.8,2906311980,25.1,293593,17.9,428269451,0.3
50,50,2011-03-01,5792366,82.1,6607214722,34.8,647583,24.6,973422009,3.0
51,51,2011-04-01,6565874,86.2,6932923399,35.9,586397,31.6,784438985,5.1
52,52,2011-05-01,9433832,87.0,10334474822,35.5,901793,25.3,1264726343,-3.5
53,53,2011-06-01,9937061,79.9,10388530089,28.5,853516,30.9,1110939312,-0.4
54,54,2011-07-01,13227499,80.1,14206238950,27.6,1145679,27.7,1544626196,-5.3
55,55,2011-08-01,13901657,81.2,14554244575,28.1,1048132,23.2,1316177874,-10.6
56,56,2011-09-01,16420551,77.1,17540773128,25.1,1306517,23.4,1689569556,-11.7
57,57,2011-10-01,17061658,71.2,17864952345,21.3,1271967,22.5,1550628723,-13.3
58,58,2011-11-01,19851052,69.3,21075733992,20.7,1537278,27.1,1938512128,-9.9
59,59,2011-12-01,20539352,66.9,21546459904,20.2,1584576,34.5,1923136968,-3.5
60,60,2012-01-01,3415201,43.8,3511590659,19.2,409647,16.5,477507020,-17.6
61,61,2012-02-01,3630028,43.9,3583592728,21.2,342158,16.5,387296296,-14.2
62,62,2012-03-01,7233505,30.7,7200010384,13.4,745040,15.5,845692839,-12.0
63,63,2012-04-01,6923546,14.6,6811042330,3.5,753170,21.4,834769148,-4.4
64,64,2012-05-01,10706779,10.2,10818698084,2.1,1247261,34.4,1467402573,12.3
65,65,2012-06-01,10544825,9.7,10980125486,5.2,1177269,38.1,1371332776,19.5
66,66,2012-07-01,14129115,6.5,14705962683,4.4,1647528,41.3,1982455827,26.3
67,67,2012-08-01,14233874,4.5,14848085875,2.8,1629613,49.4,1932328895,36.8
68,68,2012-09-01,18261731,7.2,18902223348,5.2,2128528,59.6,2562855403,49.6
69,69,2012-10-01,18266771,9.1,19081880230,7.3,1978959,59.3,2327757992,50.9
70,70,2012-11-01,21934451,8.9,22821616317,7.6,2621404,63.8,3219298693,59.0
71,71,2012-12-01,21601963,7.8,22679561121,6.8,2524928,64.8,3085556298,63.3
72,72,2013-01-01,3686800,8.0,3815405345,8.7,575794,40.6,761477585,59.5
73,73,2013-02-01,3319879,-0.5,3332455025,0.7,596170,55.9,775679461,77.7
74,74,2013-03-01,7289853,-2.3,7679941799,2.1,1035217,50.1,1329637321,70.7
75,75,2013-04-01,6023191,-6.0,6331282007,0.0,1191334,48.6,1563197863,72.1
76,76,2013-05-01,10476339,-6.4,11280956285,-0.1,1590053,39.0,2095159032,58.9
77,77,2013-06-01,9255899,-7.1,9959787164,-2.6,1773155,38.7,2375707100,57.5
78,78,2013-07-01,13538252,-7.6,14652024520,-4.2,2079957,36.4,2808148233,54.6
79,79,2013-08-01,12799036,-7.1,13799984610,-3.7,2345307,35.0,3193618316,53.3
80,80,2013-09-01,16950500,-8.5,18285280178,-4.9,2601638,31.6,3524605078,49.5
81,81,2013-10-01,16025864,-9.7,17244018708,-6.5,2901344,34.0,3953972067,52.9
82,82,2013-11-01,20750917,-8.5,22333808451,-5.6,3254507,33.8,4451771549,51.5
83,83,2013-12-01,18536958,-9.8,19842239048,-7.3,3632903,33.8,4929133879,48.8
84,84,2014-01-01,3510707,-4.8,3750684709,-1.7,856105,48.7,1230423097,61.6
85,85,2014-02-01,2847311,-9.3,2996198475,-5.6,669767,30.2,932571762,40.7
86,86,2014-03-01,6886321,-8.3,7377753429,-5.8,1551663,36.2,2210365255,49.3
87,87,2014-04-01,6122349,-2.3,6520207182,-0.8,1394840,32.3,1963660825,44.3
88,88,2014-05-01,10567806,1.2,11342968058,1.4,2158150,27.7,3046065860,36.9
89,89,2014-06-01,8935622,-1.2,9500177138,-1.9,2022461,24.3,2849115274,31.9
90,90,2014-07-01,13845837,-0.1,14897931303,-0.9,2779144,24.6,3909010323,30.4
91,91,2014-08-01,12522489,0.1,13510596925,-0.2,2754125,25.0,3914852717,30.4
92,92,2014-09-01,16869039,-1.2,18372840008,-0.6,3450654,25.4,4849498208,30.5
93,93,2014-10-01,15546506,-1.7,17327729158,0.5,3322938,23.1,4774711935,28.7
94,94,2014-11-01,19777416,-4.0,22453190595,0.5,3975834,18.6,5711930299,24.8
95,95,2014-12-01,17819390,-4.3,20890062124,2.8,3773614,12.5,5655445359,21.2
96,96,2015-01-01,2074662,-40.9,4041270845,7.7,314256,-63.3,755182630,-38.6
97,97,2015-02-01,1593979,-42.3,2814711413,1.6,275227,-61.4,610589148,-36.9
98,98,2015-03-01,4385282,-38.6,8259381238,6.7,673106,-57.3,1655599519,-27.9
99,99,2015-04-01,3407544,-40.1,6000782217,2.6,506463,-60.0,1116427706,-33.6
100,100,2015-05-01,6435642,-41.0,11666011744,-1.1,924060,-59.7,2197161898,-33.9
101,101,2015-06-01,5628408,-38.1,9818369095,3.1,708269,-61.0,1528540935,-36.8
102,102,2015-07-01,8598439,-37.6,15867941706,5.3,1141161,-61.5,2698992338,-37.4
103,103,2015-08-01,7553548,-38.7,14089090550,5.5,955064,-62.1,2246484861,-36.8
104,104,2015-09-01,10519782,-38.5,20013453060,7.0,1445964,-61.3,3710671064,-32.0
105,105,2015-10-01,9121445,-39.4,17417273815,4.8,1296173,-59.5,3348240781,-26.7
