,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2012-01-01,128615,0.0,2892519,0.0,32169,0.0,375985,0.0
1,1,2012-02-01,153547,0.0,3486755,0.0,37119,0.0,440863,0.0
2,2,2012-03-01,282621,0.0,6466082,0.0,70346,0.0,828055,0.0
3,3,2012-04-01,333743,0.0,7640258,0.0,75435,0.0,951084,0.0
4,4,2012-05-01,484599,0.0,11160663,0.0,116290,0.0,1337509,0.0
5,5,2012-06-01,528677,0.0,12016699,0.0,116510,0.0,1428678,0.0
6,6,2012-07-01,688413,0.0,15722297,0.0,157037,0.0,1856355,0.0
7,7,2012-08-01,714232,0.0,16199891,0.0,154916,0.0,1884038,0.0
8,8,2012-09-01,855282,0.0,19388233,0.0,199327,0.0,2378391,0.0
9,9,2012-10-01,882391,0.0,19793072,0.0,192624,0.0,2356708,0.0
10,10,2012-11-01,1031684,0.0,23040324,0.0,237160,0.0,2827018,0.0
11,11,2012-12-01,1033200,0.0,22970887,0.0,226863,0.0,2795905,0.0
12,12,2013-01-01,176951,37.6,3825461,32.3,42459,32.0,589759,56.9
13,13,2013-02-01,151735,16.5,3276832,11.3,35706,12.8,496809,33.0
14,14,2013-03-01,347219,14.4,7482662,8.1,81338,8.9,1115002,27.0
15,15,2013-04-01,336970,11.0,7270010,4.6,82184,12.2,1124027,25.8
16,16,2013-05-01,539936,7.2,11517210,-0.1,124668,7.9,1678187,22.4
17,17,2013-06-01,518131,4.4,11144822,-2.2,125946,7.7,1719587,22.8
18,18,2013-07-01,745507,3.8,16144018,-1.6,167831,7.4,2295309,22.2
19,19,2013-08-01,694892,2.7,15085093,-2.2,161921,5.7,2187368,19.8
20,20,2013-09-01,949314,4.8,20595611,0.3,217539,7.1,2949220,20.5
21,21,2013-10-01,918334,7.5,19927316,3.4,214545,10.2,2859847,22.7
22,22,2013-11-01,1152591,8.2,25243468,5.5,257927,9.9,3493037,22.6
23,23,2013-12-01,1112702,9.7,24452553,8.0,253884,10.3,3436209,23.2
24,24,2014-01-01,169350,-4.3,3982252,4.1,37173,-12.5,577879,-2.0
25,25,2014-02-01,183462,7.3,4485517,19.2,33656,-9.4,456648,-4.8
26,26,2014-03-01,378301,12.6,9057955,25.9,81527,-1.6,1197466,2.6
27,27,2014-04-01,405691,14.6,9899360,28.5,71363,-6.5,973879,-3.0
28,28,2014-05-01,588013,13.3,14432622,29.5,120601,-7.2,1714488,-4.1
29,29,2014-06-01,596697,12.0,14712161,28.6,107222,-9.1,1514633,-5.0
30,30,2014-07-01,785563,9.4,19471594,25.3,156549,-10.2,2249395,-6.2
31,31,2014-08-01,769132,7.9,19025669,23.3,139120,-10.3,1971600,-5.8
32,32,2014-09-01,978275,6.3,24160318,21.0,200235,-10.6,2839580,-6.3
33,33,2014-10-01,959437,3.8,23522569,17.7,186949,-10.4,2651916,-5.5
34,34,2014-11-01,1143344,1.5,28138075,14.4,238251,-10.0,3415329,-4.5
35,35,2014-12-01,1124713,0.1,27658180,12.3,224059,-9.7,3253393,-3.8
36,36,2015-01-01,162136,-4.3,4208113,5.7,39988,7.6,621316,7.5
37,37,2015-02-01,142584,-13.6,3708332,-6.5,32003,1.6,536501,11.9
38,38,2015-03-01,312910,-18.9,8249341,-11.7,74245,-7.8,1190255,4.4
39,39,2015-04-01,299225,-21.9,7962755,-14.5,66678,-7.8,1145098,7.6
40,40,2015-05-01,471496,-22.4,12647917,-15.3,106925,-9.6,1787284,9.1
41,41,2015-06-01,470199,-20.5,12691062,-13.1,95962,-10.9,1709539,8.3
42,42,2015-07-01,641442,-19.6,17425623,-11.9,139519,-10.7,2407131,9.4
43,43,2015-08-01,648337,-17.0,17655918,-8.9,129523,-9.0,2297668,11.5
44,44,2015-09-01,828384,-15.5,22680285,-6.6,169353,-11.9,2992479,10.0
45,45,2015-10-01,834550,-14.2,22837469,-4.5,168928,-12.6,3056644,10.2
46,46,2015-11-01,1004231,-12.6,27599994,-2.4,200810,-13.0,3601600,9.7
47,47,2015-12-01,1025925,-10.5,28361236,0.3,201699,-12.9,3751600,10.3
48,48,2016-01-01,190045,17.2,5561183,32.2,35299,-11.7,698439,12.4
49,49,2016-02-01,162352,15.6,4822368,31.2,26266,-14.5,459092,0.0
50,50,2016-03-01,391616,21.6,11387024,35.6,78715,-1.2,1424876,9.1
51,51,2016-04-01,340931,19.7,10000935,31.9,59076,-2.2,1000520,3.9
52,52,2016-05-01,560960,17.0,16350674,27.9,109127,-3.1,1936773,0.2
53,53,2016-06-01,532426,16.1,15687734,26.4,88685,-2.5,1498915,-1.7
54,54,2016-07-01,735572,14.1,21491220,23.4,132332,-6.1,2347031,-6.6
55,55,2016-08-01,721579,13.0,21145902,21.5,112182,-9.1,1931672,-9.1
56,56,2016-09-01,941879,12.6,27496119,20.6,168952,-5.9,3246039,-2.1
57,57,2016-10-01,943018,13.3,27582822,21.0,151417,-5.3,2851390,0.8
58,58,2016-11-01,1146550,13.6,33482167,21.1,207397,-3.0,4128153,4.8
59,59,2016-12-01,1181276,14.7,34892500,22.2,187198,-2.0,3572737,4.7
60,60,2017-01-01,254494,33.9,7523106,35.3,46966,33.1,1028784,47.3
61,61,2017-02-01,268542,48.4,7714025,46.7,44045,47.8,860964,63.3
62,62,2017-03-01,537374,45.5,15730698,44.6,105389,42.3,2211739,63.1
63,63,2017-04-01,542278,47.4,15588994,46.4,94723,45.2,1857837,67.8
64,64,2017-05-01,852979,54.7,24833427,53.4,156324,49.3,3265371,74.4
65,65,2017-06-01,816347,52.7,23334770,50.3,135512,47.5,2735478,74.7
66,66,2017-07-01,1145810,54.7,33115277,51.8,196814,50.4,4197891,80.3
67,67,2017-08-01,1144680,57.2,32610173,54.2,186715,56.9,3898044,89.2
68,68,2017-09-01,1461591,56.7,42106209,53.6,252173,56.1,5465800,80.8
69,69,2017-10-01,1429326,53.4,40613881,50.2,233955,51.7,5031615,72.2
70,70,2017-11-01,1766718,53.0,50876205,49.8,331407,57.6,7733113,82.9
71,71,2017-12-01,1750913,51.1,49429390,46.7,339645,70.1,8372826,109.1
72,72,2018-01-01,353559,38.9,9783542,30.0,78591,67.3,2179555,111.9
73,73,2018-02-01,303982,25.7,8415885,19.4,79994,74.2,2383077,141.4
74,74,2018-03-01,708342,25.6,19772374,20.2,184468,77.0,5223641,147.6
75,75,2018-04-01,646142,25.5,18032405,20.7,183944,84.1,5261463,157.6
76,76,2018-05-01,1065435,22.7,29633489,17.9,289116,88.4,8090664,160.6
77,77,2018-06-01,985317,22.8,27609903,18.8,293760,99.7,8401475,174.8
78,78,2018-07-01,1449901,24.1,40211212,20.1,398963,108.4,11284228,183.9
79,79,2018-08-01,1378666,23.5,38349157,19.5,397885,107.8,11323213,179.2
80,80,2018-09-01,1796414,21.8,49525578,17.6,501265,104.9,14189676,172.5
81,81,2018-10-01,1811071,24.8,49961526,20.3,496836,105.3,13895998,167.5
82,82,2018-11-01,2217471,26.0,60742256,21.0,605685,95.0,17136361,143.1
83,83,2018-12-01,2170814,24.8,59362992,19.7,619452,82.6,17339937,114.1
84,84,2019-01-01,405084,14.6,10342785,5.7,109760,39.7,3067120,40.7
85,85,2019-02-01,340860,13.4,8420793,3.1,78450,18.7,2224065,16.0
86,86,2019-03-01,821910,14.9,21087123,4.7,216755,11.6,5883873,6.6
87,87,2019-04-01,741866,15.5,18690365,5.2,189713,10.3,5177110,5.5
