,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,1151879,123.6,3692819,-55.5,249740,-1.7,4480875,2.5
1,1,2007-02-01,956981,108.5,3772242,-54.0,241261,2.5,4138334,3.5
2,2,2007-03-01,1936065,78.9,8408871,-53.7,490076,-3.5,8781185,-4.1
3,3,2007-04-01,1571693,59.4,8537658,-52.5,471341,-4.7,8325584,-5.9
4,4,2007-05-01,2597302,46.0,12672865,-51.9,692774,-7.5,12593696,-10.8
5,5,2007-06-01,2263055,37.8,12123572,-53.0,676452,-9.7,11935338,-15.6
6,6,2007-07-01,3367945,33.8,16006213,-53.3,903125,-11.1,16421496,-17.3
7,7,2007-08-01,3036398,30.3,15719533,-52.9,882478,-13.0,15803735,-17.9
8,8,2007-09-01,4003010,22.1,19347997,-53.9,1110437,-14.1,19737131,-19.3
9,9,2007-10-01,3590816,14.2,19356935,-52.9,1135643,-12.8,19672575,-18.7
10,10,2007-11-01,4509566,6.2,22346824,-52.9,1354019,-13.1,23777985,-18.5
11,11,2007-12-01,4062839,-2.3,22157963,-53.4,1372848,-13.9,23650166,-18.6
12,12,2008-01-01,460943,-60.0,2960177,-19.8,242930,-2.7,3843363,-14.2
13,13,2008-02-01,444885,-57.0,3485776,-13.7,202334,-9.3,3166099,-18.7
14,14,2008-03-01,979004,-50.8,6337471,-19.4,490887,-5.2,8019259,-13.4
15,15,2008-04-01,1024036,-42.9,6960928,-21.5,395701,-7.8,6707626,-13.9
16,16,2008-05-01,1628862,-36.4,9737503,-21.3,656217,-9.6,10980750,-15.4
17,17,2008-06-01,1743859,-30.6,10204779,-19.6,637574,-5.5,9585810,-16.2
18,18,2008-07-01,2281858,-28.5,13773280,-14.8,857817,-5.3,13838297,-17.4
19,19,2008-08-01,2391839,-27.0,13767898,-13.2,826449,-5.7,12073956,-19.6
20,20,2008-09-01,2777738,-26.6,16746882,-13.0,1043239,-6.2,16596562,-19.3
21,21,2008-10-01,2768795,-27.0,16604418,-13.8,981074,-9.9,14460224,-21.2
22,22,2008-11-01,3069379,-27.9,18777683,-15.2,1180506,-13.2,18720788,-23.6
23,23,2008-12-01,3048325,-28.6,18523766,-16.2,1119900,-15.6,17130928,-24.4
24,24,2009-01-01,261748,-43.2,1753211,-40.8,152607,-37.2,2333621,-39.3
25,25,2009-02-01,258876,-42.5,1966545,-42.3,139863,-34.3,2230244,-34.9
26,26,2009-03-01,563367,-42.3,4160716,-37.6,332187,-31.9,5221378,-33.4
27,27,2009-04-01,544590,-44.7,4468348,-35.1,309929,-27.6,4895260,-31.3
28,28,2009-05-01,913529,-45.0,6547999,-34.0,480740,-24.8,7308237,-31.0
29,29,2009-06-01,906334,-46.0,6840989,-32.9,473806,-26.2,7187232,-29.5
30,30,2009-07-01,1331209,-44.4,8826669,-34.7,647667,-25.0,9809400,-27.4
