,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,1246687,0.0,504237,0.0,241222,0.0,108697,0.0
1,1,2007-02-01,1101985,0.0,463603,0.0,271041,0.0,111817,0.0
2,2,2007-03-01,2430395,0.0,1108239,0.0,639875,0.0,265917,0.0
3,3,2007-04-01,2264187,0.0,1073741,0.0,642264,0.0,264157,0.0
4,4,2007-05-01,3574557,0.0,1632388,0.0,997325,0.0,406051,0.0
5,5,2007-06-01,3610721,0.0,1660890,0.0,983785,0.0,416267,0.0
6,6,2007-07-01,4974373,0.0,2231494,0.0,1347187,0.0,566542,0.0
7,7,2007-08-01,5145187,0.0,2292334,0.0,1384001,0.0,587725,0.0
8,8,2007-09-01,6434071,0.0,2811604,0.0,1749764,0.0,725324,0.0
9,9,2007-10-01,6665883,0.0,2923749,0.0,1829757,0.0,757959,0.0
10,10,2007-11-01,7936096,0.0,3393700,0.0,2181285,0.0,906515,0.0
11,11,2007-12-01,7934319,0.0,3545808,0.0,2208271,0.0,935011,0.0
12,12,2008-01-01,1107923,-11.1,629116,24.8,417999,73.3,194339,78.8
13,13,2008-02-01,1062077,-7.6,567979,23.7,455398,70.5,171291,65.8
14,14,2008-03-01,2321827,-4.2,1236566,14.8,874969,46.0,383102,46.8
15,15,2008-04-01,2210603,-3.5,1147890,9.3,912229,39.4,363475,40.8
16,16,2008-05-01,3528753,-1.7,1812423,9.4,1362739,38.8,578213,40.5
17,17,2008-06-01,3398399,-3.6,1719965,7.3,1474327,43.2,563495,38.8
18,18,2008-07-01,4728485,-5.3,2453510,7.2,1909965,45.2,788586,37.6
19,19,2008-08-01,4553779,-8.3,2422080,7.8,2046853,44.9,764869,34.6
20,20,2008-09-01,5808828,-10.5,3154655,9.3,2521792,45.8,966778,31.9
21,21,2008-10-01,5442688,-14.1,3085540,8.8,2498016,40.2,903205,26.1
22,22,2008-11-01,6519965,-18.1,3751446,8.2,2905978,34.7,1084302,19.4
23,23,2008-12-01,5961453,-21.4,3556968,5.3,2772378,29.4,992324,12.8
24,24,2009-01-01,523127,-52.8,453191,-28.0,250154,-40.2,91459,-52.9
25,25,2009-02-01,611481,-47.7,489757,-21.2,279005,-39.4,105375,-46.2
26,26,2009-03-01,1179130,-47.1,938106,-20.9,542597,-38.2,193169,-46.1
27,27,2009-04-01,1396089,-43.2,1046346,-16.8,568748,-37.8,214705,-45.4
28,28,2009-05-01,2072373,-39.6,1494192,-14.2,849420,-37.7,286012,-46.8
29,29,2009-06-01,2363027,-36.0,1659692,-10.7,890668,-38.7,311582,-47.7
30,30,2009-07-01,3078702,-33.0,2118781,-9.5,1169192,-39.1,384822,-48.5
31,31,2009-08-01,3471139,-29.4,2290134,-9.6,1247443,-38.9,411635,-48.7
32,32,2009-09-01,4281776,-25.2,2759994,-9.4,1572322,-38.3,506326,-47.0
33,33,2009-10-01,4834183,-19.0,2932248,-8.8,1612702,-36.6,516398,-45.3
34,34,2009-11-01,5672696,-12.2,3410570,-7.2,1933875,-34.4,610245,-43.3
35,35,2009-12-01,6259240,-4.4,3397549,-6.8,1987681,-30.9,630958,-40.2
36,36,2010-01-01,1389702,165.7,418460,-7.7,336582,34.5,98110,7.3
37,37,2010-02-01,1404141,146.2,421494,-10.9,352642,30.2,94010,-2.4
38,38,2010-03-01,3106360,151.9,902750,-7.3,764241,35.9,224984,6.8
39,39,2010-04-01,3233891,146.2,877590,-10.3,745723,35.9,202581,4.8
40,40,2010-05-01,5074233,139.5,1372018,-11.5,1132599,32.4,339658,8.3
41,41,2010-06-01,5174489,131.1,1344507,-13.9,1161309,31.8,318754,10.2
42,42,2010-07-01,7121786,126.0,1865680,-15.0,1565528,32.4,452549,10.8
43,43,2010-08-01,7385096,121.5,1834608,-16.1,1683111,34.4,452966,13.7
44,44,2010-09-01,9149451,113.3,2348098,-17.2,2106002,34.4,585988,13.2
45,45,2010-10-01,9245935,101.8,2302666,-18.3,2214727,35.7,604864,16.4
46,46,2010-11-01,10708262,89.9,2800775,-19.5,2618288,36.3,707718,16.5
47,47,2010-12-01,10899547,81.1,2896211,-16.3,2779139,37.6,742004,16.8
48,48,2011-01-01,1754341,26.2,663176,58.5,595311,76.9,159350,62.4
49,49,2011-02-01,1486223,16.0,510703,39.8,511090,60.5,137346,54.4
50,50,2011-03-01,3666710,14.2,1214519,30.3,1152470,48.9,296999,36.2
51,51,2011-04-01,3311758,10.1,1055433,27.5,1025615,44.2,268888,32.4
52,52,2011-05-01,5464933,5.6,1725766,23.6,1727600,46.6,431145,29.1
53,53,2011-06-01,5043886,2.5,1515384,19.3,1465913,39.2,384363,23.9
54,54,2011-07-01,6975712,-2.3,2154155,14.3,2277250,37.3,559824,22.4
55,55,2011-08-01,6519908,-7.0,1955679,11.1,2040426,32.9,506089,17.7
56,56,2011-09-01,8540015,-8.9,2621765,9.4,2778730,27.2,674566,13.6
57,57,2011-10-01,8077553,-9.7,2399651,8.0,2540007,23.1,619324,8.7
58,58,2011-11-01,10050385,-9.2,3106039,7.9,3264855,20.1,797042,7.9
59,59,2011-12-01,9455677,-9.7,2906665,5.5,3058615,17.2,747878,6.6
60,60,2012-01-01,1241315,-29.2,420559,-36.6,432389,-27.4,119132,-25.2
61,61,2012-02-01,1276064,-22.3,428341,-27.7,423078,-22.7,113534,-21.6
