,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2012-01-01,917604,0.0,897949530,0.0,1784292,0.0,1957442353,0.0
1,1,2012-02-01,921758,0.0,852238664,0.0,1651279,0.0,1715327925,0.0
2,2,2012-03-01,1794131,0.0,1676240669,0.0,3508336,0.0,3619591512,0.0
3,3,2012-04-01,1866666,0.0,1693781002,0.0,3341840,0.0,3261239074,0.0
4,4,2012-05-01,2655268,0.0,2531927921,0.0,5241219,0.0,5253663795,0.0
5,5,2012-06-01,2730365,0.0,2696552536,0.0,5262904,0.0,5298312907,0.0
6,6,2012-07-01,3464741,0.0,3422411830,0.0,6430143,0.0,6763272185,0.0
7,7,2012-08-01,3814895,0.0,3767518500,0.0,6832308,0.0,7157854694,0.0
8,8,2012-09-01,4348917,0.0,4281278299,0.0,8289897,0.0,8746112879,0.0
9,9,2012-10-01,4795325,0.0,4727057157,0.0,8488833,0.0,8837532267,0.0
10,10,2012-11-01,5411175,0.0,5343015464,0.0,10310594,0.0,10831217232,0.0
11,11,2012-12-01,5777361,0.0,5713187277,0.0,10233104,0.0,10663877752,0.0
12,12,2013-01-01,1088810,18.7,1057266808,17.7,2045905,14.7,2129827252,8.8
13,13,2013-02-01,1100757,19.0,1017522090,18.5,1618778,6.7,1656098622,3.1
14,14,2013-03-01,2207279,21.8,2148215864,25.2,4222005,13.2,4274693275,11.2
15,15,2013-04-01,1993229,14.7,1954153498,21.7,3576689,13.8,3695279415,15.8
16,16,2013-05-01,3105761,12.8,3107719818,19.8,5875528,10.1,6130030737,15.4
17,17,2013-06-01,2929129,12.1,2930414032,15.5,5350353,6.9,5718926411,12.3
18,18,2013-07-01,3979368,11.5,4001760072,13.3,7513914,10.0,7980211429,13.6
19,19,2013-08-01,3835101,7.3,3861287458,9.4,7094688,10.2,7643168438,12.2
20,20,2013-09-01,4872017,6.7,4906972719,8.9,9363814,8.8,9953313504,10.6
21,21,2013-10-01,4789377,5.7,4848747623,8.3,8845604,8.5,9485637148,10.6
22,22,2013-11-01,6103354,6.7,6166989456,9.4,11040847,5.8,11758235103,8.0
23,23,2013-12-01,5609779,4.7,5664572952,7.0,10876583,6.7,11613710343,8.7
24,24,2014-01-01,1042630,-4.2,1044384588,-1.2,2286947,11.8,2318027797,8.8
25,25,2014-02-01,893941,-11.6,881557808,-7.2,1937922,15.3,1997850209,14.0
26,26,2014-03-01,2152033,-7.9,2150821057,-4.2,4223907,5.5,4356030592,7.1
27,27,2014-04-01,1825230,-5.3,1801425398,-3.7,3583438,0.1,3742377033,1.6
28,28,2014-05-01,2963046,-6.1,2955798994,-6.0,6181663,3.3,6401993755,3.2
29,29,2014-06-01,2586379,-8.0,2540391503,-9.0,5273106,2.0,5482246810,0.3
30,30,2014-07-01,3971666,-5.1,3949529773,-6.4,7962964,2.9,8218565037,0.0
31,31,2014-08-01,3662069,-2.3,3659865286,-3.2,7106264,3.2,7357295665,-0.3
32,32,2014-09-01,4989252,-0.6,5043170604,-0.7,9952384,3.6,10380251687,0.8
33,33,2014-10-01,4753094,0.8,4971649727,2.7,9117902,4.7,9622603989,2.9
34,34,2014-11-01,5740724,-3.7,6084334895,0.4,11309373,2.7,12137944189,2.4
35,35,2014-12-01,5474641,-4.2,6107037158,3.0,10586749,-0.1,11834041626,2.6
36,36,2015-01-01,587541,-43.6,1178451524,12.8,1175150,-48.6,2153472226,-7.1
37,37,2015-02-01,578720,-39.8,1055537031,16.0,917951,-50.5,2013245313,-3.5
38,38,2015-03-01,1260102,-39.6,2309057215,11.0,2122307,-50.7,3957444254,-6.0
39,39,2015-04-01,1238124,-37.2,2134518291,12.4,1876251,-48.8,3784435448,-4.4
40,40,2015-05-01,1873658,-35.0,3270743212,13.6,3055758,-49.5,5633445234,-7.2
41,41,2015-06-01,2006374,-30.1,3317822575,19.9,2939186,-47.7,5604321782,-5.4
42,42,2015-07-01,2630108,-29.3,4522755656,20.8,4145315,-46.5,7540270140,-4.1
43,43,2015-08-01,2705312,-30.1,4658875653,20.7,3928487,-46.4,7536839504,-3.2
44,44,2015-09-01,3311557,-30.5,5842791567,20.7,5014453,-47.6,9457867128,-4.2
45,45,2015-10-01,3330524,-31.8,5887552093,17.1,4738139,-48.9,9356676549,-5.9
46,46,2015-11-01,3957449,-30.5,7183552287,18.2,5957993,-47.6,11501231044,-4.1
47,47,2015-12-01,3916790,-29.8,7162631800,17.7,5772099,-46.4,11628527679,-3.5
48,48,2016-01-01,505173,-14.0,1260504049,7.0,861354,-26.7,2001218770,-7.1
49,49,2016-02-01,469712,-16.4,1314569166,15.3,597555,-30.3,1640180774,-12.6
50,50,2016-03-01,985349,-20.9,2427044220,11.2,1467367,-32.1,3868337301,-7.7
51,51,2016-04-01,1120812,-15.7,2805603790,17.8,1245362,-32.2,3378912883,-6.4
52,52,2016-05-01,1489935,-16.1,3514534586,16.9,2211098,-29.9,5730722474,-3.3
53,53,2016-06-01,1704748,-17.7,4034725272,14.6,1977724,-30.1,5132806868,-3.3
54,54,2016-07-01,2127660,-17.3,4996353898,15.2,3059329,-28.9,7729366032,-2.1
55,55,2016-08-01,2127187,-20.3,5028238271,9.2,2809377,-27.3,7242251767,-0.7
56,56,2016-09-01,2699176,-19.8,6273555210,7.6,3796606,-26.1,9667704014,-0.5
57,57,2016-10-01,2660512,-19.3,6152827425,5.9,3548261,-24.7,9074613997,-0.4
58,58,2016-11-01,3252439,-18.9,7421926932,3.9,4623749,-23.6,11543596022,-1.1
59,59,2016-12-01,3288426,-16.9,7375790319,3.1,4450444,-22.6,11114923848,-2.0
60,60,2017-01-01,754914,49.4,1350883961,7.2,794186,-7.8,1647455915,-17.7
61,61,2017-02-01,744313,53.8,1313490432,3.5,945300,19.2,1845939402,-4.1
62,62,2017-03-01,1520478,55.6,2776457586,9.3,1824743,34.1,3627517797,-0.6
63,63,2017-04-01,1386648,38.0,2487569408,0.6,1817587,34.3,3662220743,0.6
64,64,2017-05-01,2156810,35.7,4016407335,2.9,2751381,32.2,5546997941,1.1
65,65,2017-06-01,1887951,26.6,3516122126,-0.2,2749036,31.3,5709104592,3.6
66,66,2017-07-01,2756326,21.2,5235497823,-3.1,3568598,25.4,7472180235,2.5
67,67,2017-08-01,2503704,23.6,4696100765,-0.9,3499747,20.4,7443061637,-0.4
68,68,2017-09-01,3471793,23.8,6498549152,-0.9,4637195,23.2,9723458299,1.5
69,69,2017-10-01,3138546,23.3,5802420617,-1.0,4457388,23.8,9306632914,1.5
70,70,2017-11-01,4343297,26.5,7899943782,0.9,5634375,23.5,11566602718,1.2
71,71,2017-12-01,3887406,25.8,6990333059,0.6,5486521,22.6,11041285392,-0.2
72,72,2018-01-01,910909,20.7,1382207786,2.3,1152556,45.1,1902434982,15.5
73,73,2018-02-01,745957,10.5,1172091903,-4.1,1280667,39.9,2093377827,14.4
74,74,2018-03-01,1624865,4.7,2500000527,-10.2,2338802,30.7,3961774704,10.6
75,75,2018-04-01,1803925,17.9,2745975578,-0.3,2353526,28.8,3916030540,8.1
76,76,2018-05-01,2446287,19.9,3646021663,-1.7,3676078,32.0,6102295253,8.8
77,77,2018-06-01,2727883,27.9,4067565316,2.4,3734086,34.7,5944798608,7.0
78,78,2018-07-01,3191665,27.5,4717139472,0.4,5242173,42.1,8460915016,9.3
79,79,2018-08-01,3664556,30.3,5398428960,1.9,5203629,47.8,8142142597,11.3
80,80,2018-09-01,4232952,32.2,6130098556,3.0,6663050,45.8,10585344792,9.1
81,81,2018-10-01,4693900,35.0,6823748987,5.3,6590909,45.7,10127869539,8.8
82,82,2018-11-01,5241236,32.8,7756158855,6.4,8136119,45.9,12722906344,9.5
83,83,2018-12-01,5402653,29.3,8174900684,7.0,7797785,43.3,12278624891,10.6
84,84,2019-01-01,769804,-15.5,1482207812,7.2,1044710,-9.4,2093797506,10.1
85,85,2019-02-01,715087,-10.4,1277207407,8.0,845580,-22.3,1720221057,-4.5
86,86,2019-03-01,1514984,-5.9,2708413656,8.5,1958309,-22.5,3823296714,-8.4
87,87,2019-04-01,1665467,-7.2,2764195789,4.3,1983454,-16.0,3750917865,-3.9
88,88,2019-05-01,2285944,-7.0,3981750747,5.5,3283008,-12.7,6065139428,-2.0
89,89,2019-06-01,2406570,-9.3,4101424354,4.8,3189440,-12.7,5888533239,-0.8
90,90,2019-07-01,3122003,-6.6,5416098134,8.3,4479348,-14.6,8441111303,-0.5
91,91,2019-08-01,3262275,-6.9,5618644479,9.1,4579555,-13.3,8568768390,2.5
92,92,2019-09-01,3880946,-9.6,6725832676,7.1,5567854,-14.5,10703795404,2.9
93,93,2019-10-01,3951798,-12.3,6771761362,4.2,5647647,-15.4,10673542111,3.2
94,94,2019-11-01,4648707,-13.4,7997487819,1.3,6728457,-16.0,12872163455,3.0
95,95,2019-12-01,4842351,-10.8,8200092447,1.7,7070256,-13.4,13196065275,4.3
96,96,2020-01-01,788763,2.5,1322639539,-10.8,1744523,67.0,2943074073,40.6
97,97,2020-02-01,631756,-4.3,1185938891,-9.1,1310582,61.6,2281476738,37.0
98,98,2020-03-01,1313111,-12.8,2858362736,1.5,2913012,50.6,5243012447,35.7
99,99,2020-04-01,849828,-32.0,2247623627,-6.7,1900434,22.1,3959267247,21.5
100,100,2020-05-01,1519849,-40.0,3616154558,-13.1,3461011,1.8,7869635406,20.5
101,101,2020-06-01,1175049,-42.6,3189870810,-15.8,2586156,-6.6,6476593273,20.0
102,102,2020-07-01,1957047,-43.3,4732206643,-16.8,4269580,-10.6,10083987963,15.6
103,103,2020-08-01,1602179,-44.3,4228524196,-18.8,3302169,-16.4,8264314908,7.9
104,104,2020-09-01,2347154,-44.7,5690648919,-19.6,5070865,-17.5,12074525919,5.5
105,105,2020-10-01,2008150,-44.4,5241969187,-19.0,3777583,-21.1,9433065165,0.6
106,106,2020-11-01,2750345,-44.7,6701276106,-19.1,5613590,-24.1,13437491417,-2.9
107,107,2020-12-01,2587289,-43.8,6564028543,-18.1,4532821,-26.5,11343844765,-4.9
108,108,2021-01-01,496538,-37.0,982766174,-25.7,1010467,-42.1,2167851083,-26.3
109,109,2021-02-01,629132,-20.8,1110845841,-16.5,1169052,-28.7,2239765192,-15.6
110,110,2021-03-01,1227053,-4.6,2166676482,-19.0,2265645,-18.7,4342400102,-12.5
111,111,2021-04-01,1422702,22.5,2379498429,-11.0,2601661,1.1,4604252398,-2.8
112,112,2021-05-01,2109623,49.1,3547871756,1.1,3593497,15.6,6603485246,-5.3
113,113,2021-06-01,2247737,61.7,3607789918,5.1,4002332,25.6,6882745746,-6.0
114,114,2021-07-01,3105983,70.9,4945042103,8.0,5442626,37.8,9403250076,-1.7
115,115,2021-08-01,3159132,76.0,4918973335,10.1,5847928,49.1,9547973820,3.3
116,116,2021-09-01,4133413,84.7,6398987450,14.1,7343457,57.5,12216469223,7.0
117,117,2021-10-01,4384261,95.6,6452533367,17.6,7703403,70.1,12195470826,13.5
118,118,2021-11-01,5293159,103.4,7830186461,19.6,9216097,80.2,14617007314,17.2
119,119,2021-12-01,5536416,102.9,7969439115,19.1,9881979,88.2,14991620164,19.5
120,120,2022-01-01,1022684,106.0,1249073039,27.1,1793605,77.5,2419112213,11.6
121,121,2022-02-01,1307554,107.0,1424768519,27.7,1894498,69.2,2364409914,8.5
122,122,2022-03-01,2581700,109.5,2707330074,26.1,3858055,67.5,4741440941,8.0
123,123,2022-04-01,2540373,93.3,2594298855,16.6,4019991,61.9,4462749862,2.9
124,124,2022-05-01,4212050,91.2,4154226182,13.9,5695960,56.8,6716428820,-0.3
125,125,2022-06-01,3882947,85.8,3760795475,10.6,5743804,50.6,6355543957,-3.1
126,126,2022-07-01,5789779,80.7,5758192805,11.3,7886906,44.3,9341254901,-3.6
127,127,2022-08-01,5225602,75.8,5322560990,12.3,7640419,37.5,8725901229,-4.7
128,128,2022-09-01,6957145,67.1,7200208575,10.6,9371286,29.0,11398954959,-7.5
