,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,141552,15.3,1073290,2.3,122521,3.1,1272749,8.2
1,1,2007-02-01,127256,9.2,1052548,-1.0,107384,-7.1,1066942,-0.3
2,2,2007-03-01,287282,6.1,2475217,0.2,262532,-4.4,2664050,2.0
3,3,2007-04-01,266606,5.6,2412249,1.1,246416,0.5,2412933,4.3
4,4,2007-05-01,428172,3.4,3855103,2.3,379524,-1.0,3833985,2.7
5,5,2007-06-01,413562,2.8,3777338,3.3,369315,-2.6,3529424,1.2
6,6,2007-07-01,588081,3.3,5304214,4.5,509317,-3.9,5112875,0.1
7,7,2007-08-01,594766,4.2,5495745,7.4,526671,-2.4,5067664,0.0
8,8,2007-09-01,763402,5.0,6875183,9.0,655452,-3.2,6620568,0.7
9,9,2007-10-01,799328,8.0,7412070,14.0,693224,-1.9,6873749,4.3
10,10,2007-11-01,964587,10.0,8716599,17.3,831783,0.9,8251509,7.7
11,11,2007-12-01,968666,11.4,8864889,18.5,845034,2.5,8362651,10.7
12,12,2008-01-01,189732,34.0,1654353,54.1,154031,25.7,1574162,23.7
13,13,2008-02-01,159849,30.0,1305171,39.2,141537,28.6,1265724,21.4
14,14,2008-03-01,373221,28.6,3304643,30.7,310979,22.3,3118773,17.5
15,15,2008-04-01,358464,32.1,2921153,27.4,292446,18.6,2804853,16.7
16,16,2008-05-01,561091,32.4,4890998,24.6,462300,20.6,4498879,16.9
17,17,2008-06-01,549782,32.0,4513116,23.2,454043,22.4,4132958,17.2
18,18,2008-07-01,787817,33.5,6670509,23.1,638642,24.4,5964566,16.8
19,19,2008-08-01,759012,30.8,6134331,18.6,617609,21.3,5523193,12.8
20,20,2008-09-01,996115,29.2,8242857,16.2,814523,21.1,7372811,10.3
21,21,2008-10-01,976205,26.2,7785318,12.2,789181,18.9,6829570,5.2
22,22,2008-11-01,1144475,20.2,9407018,6.6,922826,12.3,8252601,-0.3
23,23,2008-12-01,1083652,15.3,8640938,2.7,862099,6.4,7427415,-5.6
24,24,2009-01-01,106607,-43.8,981567,-40.7,67682,-56.1,551077,-65.0
25,25,2009-02-01,122160,-34.6,1333994,-21.8,79400,-50.2,792013,-52.7
26,26,2009-03-01,253796,-29.5,2592777,-14.8,193321,-39.7,1759753,-41.8
27,27,2009-04-01,289059,-25.8,3110207,-8.4,191636,-36.2,1988834,-36.7
28,28,2009-05-01,421157,-22.8,4188473,-6.6,304205,-34.3,2696439,-35.9
29,29,2009-06-01,463408,-20.4,4780815,-4.6,313430,-32.6,2924414,-34.9
30,30,2009-07-01,617058,-19.2,5995910,-3.6,440219,-31.0,3819692,-33.2
31,31,2009-08-01,652295,-17.9,6435357,-2.9,452648,-28.9,4262781,-29.6
32,32,2009-09-01,838682,-15.1,8034131,0.6,587605,-27.4,5269053,-26.1
33,33,2009-10-01,857830,-14.0,8431186,2.7,596607,-26.2,5599592,-23.5
34,34,2009-11-01,1037405,-10.6,9929829,6.8,723399,-22.9,6582047,-19.2
35,35,2009-12-01,1058755,-5.9,10220545,11.6,722554,-19.0,6936058,-13.8
36,36,2010-01-01,191904,80.0,1583435,61.3,122533,81.0,1321941,139.9
37,37,2010-02-01,195000,69.1,1688868,41.3,115099,61.6,1295385,94.9
38,38,2010-03-01,430563,66.4,3451017,30.9,294614,50.2,3095205,72.1
39,39,2010-04-01,428643,58.3,3757493,26.4,279128,49.0,3014792,63.0
40,40,2010-05-01,680017,56.1,5569464,27.8,445382,46.1,4666222,63.9
41,41,2010-06-01,674655,53.1,5663747,25.2,462590,47.0,4604559,64.9
42,42,2010-07-01,931387,48.6,7524465,22.4,620816,43.8,6287475,61.5
43,43,2010-08-01,917105,45.6,7495141,20.8,629603,40.0,6184921,54.3
44,44,2010-09-01,1168926,39.9,9325320,16.2,791389,36.6,7896102,47.7
45,45,2010-10-01,1160896,37.3,9196590,12.5,792342,33.7,7631007,42.9
46,46,2010-11-01,1414737,35.9,11066808,10.4,963820,33.0,9253619,38.6
47,47,2010-12-01,1397685,34.2,10750358,8.3,966244,33.5,8986295,34.9
48,48,2011-01-01,251041,30.8,1726053,9.0,160067,30.6,1510979,14.3
49,49,2011-02-01,211980,19.7,1470108,-2.3,135874,24.5,1213139,4.1
50,50,2011-03-01,513424,16.0,3718878,1.0,341016,16.4,3403470,5.1
51,51,2011-04-01,473689,14.9,3419932,-1.0,324791,16.0,2984805,4.6
52,52,2011-05-01,782972,13.3,5540642,-3.9,521770,16.8,5001787,4.0
53,53,2011-06-01,743170,12.7,5156000,-4.8,513697,14.0,4389128,1.3
54,54,2011-07-01,1056850,12.1,7219664,-6.2,706938,12.7,6411911,-0.8
55,55,2011-08-01,1045798,13.7,6915825,-5.9,726983,14.7,6074995,0.1
56,56,2011-09-01,1372181,15.9,9058431,-5.0,924002,16.2,8093050,0.6
57,57,2011-10-01,1361723,17.3,8678941,-4.2,955042,18.6,7673028,1.5
58,58,2011-11-01,1691417,18.5,10921939,-3.3,1128141,18.6,9493726,1.7
59,59,2011-12-01,1683322,20.0,10445995,-2.1,1149849,18.0,8935718,1.0
60,60,2012-01-01,303242,20.8,1688254,-2.2,174196,8.8,1283011,-15.1
61,61,2012-02-01,320599,34.7,1882137,11.7,181359,20.1,1343694,-3.6
62,62,2012-03-01,634758,31.7,3642632,6.5,389490,19.7,2795167,-10.3
63,63,2012-04-01,633941,28.5,3851244,5.0,367721,13.7,2737745,-13.4
64,64,2012-05-01,970465,27.7,5574943,5.2,600431,14.4,4234007,-12.7
65,65,2012-06-01,976365,27.6,5785140,6.2,565757,12.6,4045224,-11.8
66,66,2012-07-01,1337500,28.5,7572589,7.9,817613,13.3,5671249,-10.0
67,67,2012-08-01,1370408,28.8,8032948,10.4,805226,13.2,5683049,-9.1
68,68,2012-09-01,1715417,27.6,9671499,10.8,1062403,13.1,7340734,-8.1
69,69,2012-10-01,1773365,27.6,10192516,12.0,1078485,13.9,7305728,-7.1
70,70,2012-11-01,2123657,27.6,11502340,10.7,1351027,16.6,8920116,-5.5
71,71,2012-12-01,2154992,26.8,11821762,9.2,1345652,18.4,8758212,-4.1
72,72,2013-01-01,429759,41.7,2034275,20.5,249216,43.1,1579930,23.1
73,73,2013-02-01,360618,26.7,1832868,8.3,216324,30.9,1582677,20.4
74,74,2013-03-01,840646,25.7,4292686,10.9,500037,25.5,3530610,23.5
75,75,2013-04-01,802062,29.5,4074173,11.6,470670,28.2,3332193,24.0
76,76,2013-05-01,1311444,31.7,6507163,12.3,753428,26.4,5127624,21.3
77,77,2013-06-01,1225922,30.3,6107856,11.0,684507,23.3,4706303,18.8
78,78,2013-07-01,1754379,28.8,8656070,10.5,987506,20.9,6808119,18.5
79,79,2013-08-01,1671171,26.5,8165031,7.8,925417,17.9,6386363,16.2
80,80,2013-09-01,2231101,26.5,10667262,6.4,1223889,15.1,8510398,14.4
81,81,2013-10-01,2181707,26.5,10411792,6.1,1179329,12.3,8199047,14.1
82,82,2013-11-01,2634681,23.6,12557822,5.9,1443783,8.0,10232150,13.6
83,83,2013-12-01,2547239,21.1,12243076,6.3,1374968,4.5,9708197,12.8
84,84,2014-01-01,377663,-12.1,1984463,-2.4,197921,-20.6,1795118,13.6
85,85,2014-02-01,356165,-7.2,1966140,2.2,179709,-18.9,1565829,6.3
86,86,2014-03-01,793169,-4.3,4237155,1.3,417389,-16.6,3874294,6.4
87,87,2014-04-01,757086,-5.6,4193114,0.8,408588,-14.9,3610607,9.1
88,88,2014-05-01,1139449,-10.3,6210330,-1.7,613347,-16.5,5551332,8.3
