,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,1000815,0.0,604222,0.0,1468361,0.0,505631,0.0
1,1,2007-02-01,855278,0.0,549151,0.0,1252098,0.0,449014,0.0
2,2,2007-03-01,1982875,0.0,1232465,0.0,2831410,0.0,1008277,0.0
3,3,2007-04-01,1715911,0.0,1123096,0.0,2507219,0.0,930466,0.0
4,4,2007-05-01,2854957,0.0,1830338,0.0,4034743,0.0,1443418,0.0
5,5,2007-06-01,2623061,0.0,1748371,0.0,3695370,0.0,1363706,0.0
6,6,2007-07-01,3824724,0.0,2428301,0.0,5263310,0.0,1911370,0.0
7,7,2007-08-01,3623326,0.0,2378645,0.0,4992422,0.0,1838539,0.0
8,8,2007-09-01,4766885,0.0,3039630,0.0,6353436,0.0,2367885,0.0
9,9,2007-10-01,4667193,0.0,3039670,0.0,6448380,0.0,2379088,0.0
10,10,2007-11-01,5970854,0.0,3720599,0.0,7803821,0.0,2880420,0.0
11,11,2007-12-01,5701015,0.0,3663262,0.0,7725346,0.0,2850234,0.0
12,12,2008-01-01,1069152,6.8,690099,14.2,1417048,-3.5,520782,3.0
13,13,2008-02-01,931967,7.8,616545,13.3,1237594,-2.4,463056,3.1
14,14,2008-03-01,2052368,5.2,1380711,12.1,2688087,-3.9,1061315,4.6
15,15,2008-04-01,1870885,6.1,1271656,12.6,2597140,-1.0,998514,6.2
16,16,2008-05-01,3069512,8.1,2063201,12.9,4023407,1.2,1567959,8.1
17,17,2008-06-01,3007265,10.9,1990172,13.3,3885019,2.3,1516671,9.9
18,18,2008-07-01,4173877,11.4,2774397,14.1,5420039,3.9,2101001,10.5
19,19,2008-08-01,4099049,11.1,2706977,14.0,5229936,3.8,2023287,10.0
20,20,2008-09-01,5300675,12.0,3510160,14.7,6729087,5.4,2618475,10.3
21,21,2008-10-01,5110068,10.4,3372131,13.2,6548203,3.7,2486922,7.6
22,22,2008-11-01,6099811,5.4,4018055,9.3,7591670,-0.8,3001717,4.4
23,23,2008-12-01,5720629,1.3,3739933,5.1,7220517,-4.6,2802492,1.3
24,24,2009-01-01,610899,-42.9,324494,-53.0,831249,-41.3,289512,-44.4
25,25,2009-02-01,531508,-42.9,375236,-46.4,651151,-44.2,298173,-40.3
26,26,2009-03-01,1286811,-39.1,761524,-43.1,1594556,-42.8,633118,-38.9
27,27,2009-04-01,1368335,-32.3,860702,-38.8,1669994,-38.2,696701,-35.4
28,28,2009-05-01,2233494,-27.1,1300618,-35.2,2576879,-35.9,1006286,-33.6
29,29,2009-06-01,2297482,-25.4,1422621,-32.8,2686694,-33.4,1097295,-31.8
30,30,2009-07-01,3245261,-22.8,1888519,-30.5,3742679,-30.9,1430557,-30.1
31,31,2009-08-01,3325575,-20.6,2042182,-28.3,3765027,-29.5,1506111,-28.8
32,32,2009-09-01,4409005,-17.7,2575141,-25.7,4857111,-27.9,1866920,-27.3
33,33,2009-10-01,4504995,-14.4,2704693,-23.3,4831810,-27.0,1924478,-25.7
34,34,2009-11-01,5522801,-10.5,3184524,-20.3,5753353,-25.1,2264483,-23.7
35,35,2009-12-01,5493819,-6.8,3277148,-16.7,5697103,-22.7,2363070,-20.3
36,36,2010-01-01,892111,46.0,533014,64.3,942390,13.4,398252,37.6
37,37,2010-02-01,931427,59.6,524567,51.1,826078,19.3,365259,29.9
38,38,2010-03-01,1989432,60.6,1144494,46.8,2006339,26.1,825031,27.8
39,39,2010-04-01,2029181,51.4,1177572,43.1,1865334,18.6,788095,21.3
40,40,2010-05-01,3154192,43.9,1853399,40.2,3017044,15.0,1243203,19.3
41,41,2010-06-01,3215307,40.6,1890496,37.5,2955886,13.5,1221323,17.2
42,42,2010-07-01,4427146,37.9,2599038,35.6,4283715,12.6,1665677,14.2
43,43,2010-08-01,4501806,35.9,2616701,32.7,4037032,10.8,1654280,13.1
44,44,2010-09-01,5834129,33.6,3327944,28.7,5336497,8.7,2070741,10.4
45,45,2010-10-01,5879543,31.4,3315719,25.8,5176640,8.5,2060174,9.0
46,46,2010-11-01,7256789,31.0,3976734,23.8,6495743,10.3,2463304,8.0
47,47,2010-12-01,7286272,32.0,3975615,23.1,6324343,12.0,2426003,5.7
48,48,2011-01-01,1238620,38.8,585531,9.9,1067873,13.3,401984,0.9
49,49,2011-02-01,1107063,28.6,527522,5.2,954568,14.4,316203,-5.9
50,50,2011-03-01,2602334,27.0,1221536,4.8,2176481,10.5,790073,-7.1
51,51,2011-04-01,2326087,22.6,1142830,1.8,2002317,7.9,675984,-9.1
52,52,2011-05-01,3866667,19.5,1838215,-1.6,3242537,7.4,1173184,-9.0
53,53,2011-06-01,3686887,18.6,1751154,-4.1,3076112,5.8,1032402,-10.5
54,54,2011-07-01,5301714,17.6,2472834,-5.9,4496967,4.6,1529421,-11.3
55,55,2011-08-01,5273853,18.4,2408381,-6.4,4220631,4.8,1391852,-12.0
56,56,2011-09-01,7218753,20.9,3118213,-7.0,5701881,5.9,1886602,-12.0
57,57,2011-10-01,7060291,21.9,2972585,-8.3,5462307,6.2,1751183,-11.9
58,58,2011-11-01,8866616,21.2,3684216,-8.7,6903178,5.9,2234409,-11.9
59,59,2011-12-01,8962588,22.6,3535936,-9.2,6653730,5.7,2085609,-11.6
60,60,2012-01-01,1631122,31.7,528678,-9.7,1191942,11.6,335894,-16.4
61,61,2012-02-01,1568864,36.4,549271,-3.2,1140002,15.3,325106,-8.0
62,62,2012-03-01,3394920,33.8,1120866,-4.5,2407830,13.3,686573,-8.6
63,63,2012-04-01,3078257,31.3,1103519,-5.9,2250969,11.5,641673,-9.4
64,64,2012-05-01,5038150,31.1,1694777,-6.1,3569098,11.0,1007206,-10.8
65,65,2012-06-01,4636878,28.1,1694070,-5.6,3435789,10.9,954062,-11.1
66,66,2012-07-01,6667939,25.8,2275201,-6.0,4723961,7.7,1336148,-10.6
67,67,2012-08-01,6296883,22.6,2241932,-7.5,4617822,7.2,1266581,-10.9
68,68,2012-09-01,8617746,19.4,2808815,-8.6,5923963,6.2,1641927,-11.3
69,69,2012-10-01,8486086,19.8,2751020,-8.7,6024540,7.0,1568764,-11.7
70,70,2012-11-01,10818260,21.2,3335810,-8.6,7200883,7.0,1927277,-12.3
71,71,2012-12-01,10410566,19.1,3224411,-9.1,7205247,6.3,1831850,-13.0
72,72,2013-01-01,1803313,10.6,475782,-10.0,1288878,8.1,264628,-21.2
73,73,2013-02-01,1621383,7.0,455999,-13.6,1034322,-0.4,242320,-23.3
74,74,2013-03-01,3483682,2.8,975828,-14.3,2557663,1.2,544131,-22.3
75,75,2013-04-01,2990374,0.0,951863,-13.3,2334836,5.0,530439,-19.1
76,76,2013-05-01,5164718,0.5,1471020,-13.4,3944069,7.9,839888,-16.9
77,77,2013-06-01,4334402,-1.8,1403646,-15.2,3460837,5.7,806467,-16.1
78,78,2013-07-01,6732405,-2.1,1941050,-15.7,5149476,5.5,1139913,-15.0
