,Unnamed: 0,Date,수출금액,수출금액증감률,수출중량,수출중량증감률,수입금액,수입금액증감률,수입중량,수입중량증감률
0,0,2007-01-01,79537,0.0,38165,0.0,82368,0.0,21375,0.0
1,1,2007-02-01,77545,0.0,43949,0.0,69001,0.0,22342,0.0
2,2,2007-03-01,173279,0.0,83251,0.0,140388,0.0,42285,0.0
3,3,2007-04-01,135458,0.0,75163,0.0,116145,0.0,37539,0.0
4,4,2007-05-01,225611,0.0,113828,0.0,187030,0.0,57298,0.0
5,5,2007-06-01,214675,0.0,115816,0.0,195964,0.0,63795,0.0
6,6,2007-07-01,307747,0.0,161585,0.0,253160,0.0,80375,0.0
7,7,2007-08-01,286078,0.0,152398,0.0,246549,0.0,86119,0.0
8,8,2007-09-01,367491,0.0,203552,0.0,296860,0.0,98106,0.0
9,9,2007-10-01,331966,0.0,180144,0.0,316916,0.0,110894,0.0
10,10,2007-11-01,453821,0.0,241560,0.0,398076,0.0,117827,0.0
11,11,2007-12-01,442556,0.0,250346,0.0,443703,0.0,139240,0.0
12,12,2008-01-01,110710,39.2,74574,95.4,135394,64.4,35572,66.4
13,13,2008-02-01,112146,41.9,65889,71.1,108467,61.1,35741,63.1
14,14,2008-03-01,245997,42.8,157324,75.5,264120,77.9,76337,73.4
15,15,2008-04-01,196413,43.3,123278,77.1,191126,77.5,73163,87.3
16,16,2008-05-01,344713,49.9,211185,77.0,345847,77.1,107942,91.0
17,17,2008-06-01,277569,41.3,172062,66.9,279261,63.2,105887,76.6
18,18,2008-07-01,396163,29.0,254808,53.9,427340,57.3,140595,71.0
19,19,2008-08-01,339195,23.8,222168,51.9,341119,53.8,139692,68.3
20,20,2008-09-01,460690,22.4,312838,50.3,483143,51.7,189013,78.4
21,21,2008-10-01,379133,20.1,274995,53.2,392861,42.7,171644,72.6
22,22,2008-11-01,498927,11.7,365006,51.8,533596,29.6,214417,68.8
23,23,2008-12-01,402858,0.6,308308,36.9,418508,13.1,192817,58.4
24,24,2009-01-01,35055,-68.3,35502,-52.4,25290,-81.3,24284,-31.7
25,25,2009-02-01,51388,-61.2,44257,-43.2,27292,-78.4,23189,-33.4
26,26,2009-03-01,99326,-57.9,86025,-41.6,52931,-78.5,45085,-39.1
27,27,2009-04-01,135459,-46.9,97060,-34.8,67902,-73.5,40898,-42.5
28,28,2009-05-01,187840,-40.3,140172,-29.1,101580,-68.4,68843,-39.4
29,29,2009-06-01,213063,-35.6,140856,-26.7,119929,-64.6,60060,-39.7
30,30,2009-07-01,253310,-30.8,188415,-22.9,148221,-62.1,86028,-40.7
31,31,2009-08-01,283902,-26.9,183294,-22.1,181228,-57.1,80585,-40.6
32,32,2009-09-01,344390,-21.5,239823,-20.9,218956,-51.4,107566,-42.8
