,machine_componentRate
0,-1.7
1,2.5
2,-3.5
3,-4.7
4,-7.5
5,-9.7
6,-11.1
7,-13.0
8,-14.1
9,-12.8
10,-13.1
11,-13.9
12,-2.7
13,-9.3
14,-5.2
15,-7.8
16,-9.6
17,-5.5
18,-5.3
19,-5.7
20,-6.2
21,-9.9
22,-13.2
23,-15.6
24,-37.2
25,-34.3
26,-31.9
27,-27.6
28,-24.8
29,-26.2
30,-25.0
31,-23.7
32,-21.4
33,-18.5
34,-15.1
35,-11.3
36,38.9
37,42.5
38,41.0
39,40.3
40,41.6
41,37.4
42,33.3
43,36.6
44,36.8
45,43.1
46,43.4
47,41.6
48,24.6
49,12.9
50,5.8
51,2.1
52,-0.1
53,-0.9
54,-2.5
55,-6.0
56,-10.1
57,-17.5
58,-20.6
59,-22.0
60,-44.3
61,-37.2
62,-39.2
63,-39.0
64,-35.3
65,-31.1
66,-26.7
67,-27.6
68,-24.5
69,-20.8
70,-19.3
71,-18.5
72,54.5
73,22.0
74,22.2
75,20.7
76,14.6
77,9.0
78,4.1
79,3.7
80,1.5
81,-1.0
82,0.4
83,1.7
84,-25.5
85,-8.6
86,-0.7
87,4.8
88,4.9
89,6.0
90,7.7
91,7.5
92,6.4
93,6.2
94,4.3
95,2.9
96,24.2
97,15.5
98,1.7
99,-5.4
100,-8.3
101,-5.5
102,-0.6
103,10.7
104,13.9
105,15.1
106,19.5
107,21.9
108,3.6
109,20.5
110,38.7
111,49.4
112,46.8
113,38.5
114,30.0
115,21.4
116,19.3
117,19.9
118,16.5
119,14.2
120,14.5
121,1.2
122,-4.9
123,-12.4
124,-7.4
125,-6.4
126,-3.2
127,-0.6
128,4.1
129,8.0
130,9.7
131,11.7
132,30.1
133,30.7
134,24.2
135,22.0
136,21.6
137,22.8
138,26.1
139,24.2
140,27.6
141,27.8
142,48.4
143,56.5
144,75.6
145,69.8
146,92.1
147,113.2
148,131.9
149,128.7
150,116.1
151,103.3
152,82.9
153,71.1
154,41.4
155,28.9
156,-24.8
157,-21.8
158,-27.3
159,-32.7
160,-38.0
161,-36.6
162,-33.5
163,-28.2
164,-23.0
165,-20.5
166,-18.0
167,-15.5
168,5.3
169,-1.4
170,-1.9
171,0.4
172,-1.1
173,-0.4
174,1.2
175,-5.8
176,-6.4
177,-8.0
178,-7.6
179,-4.1
180,59.9
181,59.3
182,60.5
183,46.7
184,46.1
185,43.6
186,40.9
187,41.9
188,33.6
