,printed_circuit_boardRate
0,3.1
1,-7.1
2,-4.4
3,0.5
4,-1.0
5,-2.6
6,-3.9
7,-2.4
8,-3.2
9,-1.9
10,0.9
11,2.5
12,25.7
13,28.6
14,22.3
15,18.6
16,20.6
17,22.4
18,24.4
19,21.3
20,21.1
21,18.9
22,12.3
23,6.4
24,-56.1
25,-50.2
26,-39.7
27,-36.2
28,-34.3
29,-32.6
30,-31.0
31,-28.9
32,-27.4
33,-26.2
34,-22.9
35,-19.0
36,81.0
37,61.6
38,50.2
39,49.0
40,46.1
41,47.0
42,43.8
43,40.0
44,36.6
45,33.7
46,33.0
47,33.5
48,30.6
49,24.5
50,16.4
51,16.0
52,16.8
53,14.0
54,12.7
55,14.7
56,16.2
57,18.6
58,18.6
59,18.0
60,8.8
61,20.1
62,19.7
63,13.7
64,14.4
65,12.6
66,13.3
67,13.2
68,13.1
69,13.9
70,16.6
71,18.4
72,43.1
73,30.9
74,25.5
75,28.2
76,26.4
77,23.3
78,20.9
79,17.9
80,15.1
81,12.3
82,8.0
83,4.5
84,-20.6
85,-18.9
86,-16.6
87,-14.9
88,-16.5
89,-15.5
90,-15.3
91,-14.5
92,-12.2
93,-11.5
94,-10.4
95,-8.3
96,8.0
97,4.4
98,2.5
99,-4.3
100,-5.5
101,-5.5
102,-4.7
103,-5.7
104,-7.2
105,-6.9
106,-7.0
107,-8.0
108,-23.5
109,-18.5
110,-17.4
111,-15.5
112,-13.4
113,-10.9
114,-9.4
115,-7.8
116,-8.4
117,-9.6
118,-9.5
119,-8.5
120,4.3
121,3.8
122,3.8
123,6.5
124,6.9
125,6.0
126,3.5
127,3.7
128,6.1
129,6.7
130,9.6
131,10.3
132,21.0
133,5.1
134,0.2
135,-2.1
136,-4.2
137,-4.2
138,-3.0
139,-3.6
140,-5.6
141,-4.9
142,-6.9
143,-7.1
144,-12.8
145,-11.1
146,-7.1
147,-5.4
148,-4.1
149,-3.8
150,-2.7
151,-0.5
152,1.6
153,1.3
154,1.6
155,1.2
156,-0.4
157,8.0
158,6.3
159,3.7
160,3.9
161,1.7
162,1.8
163,1.7
164,1.8
165,3.2
166,3.6
167,4.7
168,28.2
169,23.2
170,26.5
171,27.5
172,29.4
173,32.1
174,32.2
175,31.2
176,30.7
177,30.3
178,31.3
179,31.2
180,21.0
181,29.3
182,28.9
183,32.1
184,31.2
185,30.8
186,28.4
187,26.9
188,25.2
